@relation four-1

@attribute tweets String
@attribute authors{saadhariri,salehelnaami,sameh_asker,shamma}

@data
'مؤتمر استثمار اماراتي لبناني عاصمه اماراتي',saadhariri
'انتفض يوم استشهاد رئيس رفيق حريري اثبت فاء مسيره 6 ايار',saadhariri
'ستقرار لبنان وجب تقدم امر اخر ثقه كبير وجود قياده حكيم وزن فخامه رئيس دوله رئيس استطاع نتحمل جانب مسؤوليه دفع خطر بلد اخماد حريق كلام اشتعل ب موقع نفس 44',saadhariri
'حريري عرض سفير امريكي علاقه ثنائي التقى وفد لجنه تنفيذي طائفه انجيلي',saadhariri
'برز جاء كلمه دوله رئيس مجلس وزير سعد رفيق حريري',saadhariri
'ستقبال وفد نقابه مزارع قمح حب رئاسه نجيب فارس حضور عضو مجلس اقتصادي اجتماعي ماجد سعيفان تطرق بحث الى 3 عنوان رئيسي مشروع قانون زراعه قنب هندي دعم زراعه قمح صندوق تعاضدي مزارع وضع مشكله قطاع زراعي شكل عام',saadhariri
'حريري وقف حزم جانب كفاح ضد',saadhariri
'نائب مستقبل تعاون اثمر برنامج قانون اقر برلمان قيمه 11 ۰ ۰ مليار ليره وقف تلوث نهر',saadhariri
'سراي حكومي يوم تراس اجتماع لجنه وزاري مكلف دراسه وضع اقتصادي بحث خط عريض استراتيجيه اقتصادي اعتمد حكومه',saadhariri
'قصر جمهوري بيت وسط لقاء رئيس ميشيل عون حضور اجتماع مجلس اعلى دفاع استقبال سفير روسي لبنان وفد لجنه تنفيذي لمعرضاكسبو 2 ۰ 25',saadhariri
'ذكر رئيس شهيد استذكر رجل دوله اصحاب موقف وطنيه متمسك دوله مدافع مؤمن ديموقراطيه قيمه دفاع قضيه محق يوم',saadhariri
'عو ابتعاد مزايده تشديد ان جزء فاعل محاربه موقف اخر رئيس جلسه يوم',saadhariri
'ن منتدى مال عمل استعاد ثقه مواطن تطلب تفعيل عمل مؤسسه اداره عام تعيين كفوء محاربه فساد محاسبه فاسد',saadhariri
'هد يوم توقيع عقد مجلس اعلى خصخصه عده استشاري بدء عمل اتى صلب مشروع مؤتمر در امل كبير عمل خاص نجاح رؤيه اقتصادي اجتماعي خلق فرصه عمل نسبه خلق فرصه عمل اساس ذهاب در يحفز اقتصاد',saadhariri
'يت وسط ظهر يوم بحث وضع امني قائد جيش جوزيف عون سيما تطور حد جنوبي ب جيش مهمه منطقه استقبال وزير ملحم رياشي نائب فؤاد مخزومي لقاء اخر',saadhariri
'روجوردي بيت وسط توخي طريق سياسي معالجه ازمه سوريا',saadhariri
'سراي ظهر يوم استقبال ممثل اقليمي مكتب مفوض سامي حق انسان منطقه شرق اوسط عبد سلام سيد احمد عرض واقع سياحي رئيس نقابه مطعم امين عام اتحاد نقابه سياحي لبنان',saadhariri
'تدخل شان داخلي دوله عربي عبر دوله لبناني حكومه مؤسسه شرعيه',saadhariri
'ا وضع احد سنه خانه احباط سنه عصب بلد عصب وجد بلد صلاحيه رئيس حكومه خير امكن احد مد يد',saadhariri
'ن دار فتوى قياده سياسي واعي عرف مندس اراد دم احداث مشكله بلد تحلي صبر قياده سياسي عرف حساسي طائفه راي اثبت بيان موقف',saadhariri
'بنان تخلى التزام قومي انساني حق عوده شعب فلسطيني دوله فلسطيني مستقل عاصمه واجب فلسطيني مقيم ارض مساله وجب تحرر تجاذب',saadhariri
'حريري تراس لجنه حكم ضريبي',saadhariri
'اتي عيد 159 قوه امن داخلي مستحضر تاريخ حافل ماثره مؤسسه ركيزه اساسي امن امان وطن اقترب مئوي 12',saadhariri
'حن مرحله جديد تيار مستقبل تحدي مصيري مستوى خيار سياسي مستوى تنظيمي اهم مستوى علاقه جمهور واسع',saadhariri
'ستقبال رئيس مجلس اداره شركه محمد حوت تم عرض وضع شركه',saadhariri
'ان جيش لبناني مولج وحد دفاع سياده لبنان سلامه ارض تعاون قوه يونيفيل تسيير دوريه معالجه شائبه اعترى تطبيق قرار 1701 جانب لبناني امه متحد ان تحمل مسؤوليه',saadhariri
'ن وصل كهرباء الى ناس تطلب معمل انتاج يوم افتتح معمل ذوق جي ساعد زياده تغذيه 3 ساعه يومي',saadhariri
'يت وسط يوم عقد اجتماع فريق استشاري شركه ماكينزي عرض وضع عام علاقه ثنائي سفير كويتي لبنان عبد عالي قناعي استقبال سفير باكستاني لبنان افتاب احمد خوخير زياره داعي',saadhariri
'حريري استقبل سفير ولايه متحد امريكي لبنان يزبيث ريتشارد حضور دكتور غطاس خوري عرض اخر تطور لبنان منطقه',saadhariri
'امكن ذكر هيئه اقتصادي ذكر اسم عدنان قصار رجل نشاط اقتصادي عهد اسم علامه ثقه اقتصاد لبناني استحق لقب ريس جداره',saadhariri
'يوم استقبال سفير فرنسي برونو وشي سفير اماراتي حمد شامسي وفد حمله جنسيه كرامه',saadhariri
'حن اهل اعتدال عيش واحد وجه تطرف فتنه تهميش حمل قضيه موقع بقي منار',saadhariri
'حريري برق الى ملك اراد معزي تلقى رساله تهنئه امير كويت',saadhariri
'جتماع نائب رئيس مجلس وزير سابق عصام فارس اتحاد ترياتلون لقاء اخر دوله رئيس تابع عبر',saadhariri
'عاي حفل افتتاح مقر سفاره عماني استقبال وزير خارجيه حكومه تصريف عمل جبران باسيل لقاء اخر',saadhariri
'يت وسط يوم عرض وضع اقتصادي ماليه وفد صندوق نقد دولي رئاسه كريس جارفيس استقبال نائب رئيس مجموعه بنك دولي شان منطقه شرق اوسط افريقيا فريد بلحاج لقاء اخر',saadhariri
'بنان امانه غالي اودع شعب لبناني ضمير حزب تيار قياده جاز تفريط امانه حمى الله لبنان حفظ شعب طيب',saadhariri
'يت وسط ظهر يوم استقبال رئيس حزب تقدمي اشتراكي نائب سابق وليد جنبلاط جوله قاعه رئيسي عقد قمه عربي اطلاع تحضير ترتيب متخذ لقاء اخر',saadhariri
'التقى لبث روح اعتدال مواجهه مشكك قال تروني قريب',saadhariri
'ي ذكرى ميلاد يا والد حبيب دعا الله يوم ان يتغمدك رحمه رضوان خط مستمر عمل استقرار تقدم حمايه عيش مشترك ابن',saadhariri
'لقاء وزير دوله بريطاني شان خارجيه مناسب مميز تعاون توقف محاربه ارهاب',saadhariri
'قاء رئيس محكمه شرعيه لبنان تسلم دعوه افتتاح دوره حسام دين حريري لقاء رئيس',saadhariri
'بدوي رئيس ميقات فهم حجم رساله حصل بعبدا اتجاه رئاسه مجلس وزير فلى نجيب اشاره فهم',saadhariri
'دعو منظم تظاهره الى تشكيل لجنه رفع مطلب مناقشه روح ايجابي',saadhariri
'حريري بيال داعم شب صبيه',saadhariri
'نذ ال 2 ۰ ۰ 5 قلب ميدان تعرض حمله تشويه غدر بقي خط امامي حمايه بلد حمايه خرز زرق حاسد مزايد عالم بقي جوهر عاصمه عربي بقي الله',saadhariri
'الى عيد خير',saadhariri
'دفن كيفيه تحريك بلد امن استطاعه تعلم شاب سيما جيل جديد فكر جديد تطور تكنولوجي امكان استعانه فكر نهوض بلد',saadhariri
'شروع دوله سياده منطقه',saadhariri
'ع تقدير مشعر تعاطف عفوي كرر طلب الى جمهور تيار مستقبل مناصر امتناع عراض شارع التزام تعاون جيش قوه امن داخلي حفاظ هدوء منع اي انزلاق الى استفزاز مهمه ان',saadhariri
'ن تراجع قرار مجلس وزير شان سلعاتا الى رد تشكيل قضائي ان وقع رئيس حكومه الى حمله مريب امين عام مجلس وزير محاوله هيمنه مجلس خدمه مدني الى تخبط متمادي ملف اقتصادي ماليه 13',saadhariri
'يت وسط ظهر يوم استقبال مجموعه شخصيه طرابلسي مغترب مختلف دوله عالم عرض شان نادي رياضي خطه مستقبلي رئيس مازن طبار عضو مجلس اداره نادي جين خطيب حضور منسق رياضه تيار مستقبل حسام زبيبو',saadhariri
'سله لقاء رئيس حريري سراي كبير',saadhariri
'سراي كبير يوم اجتماع لجنه يهالمصري اعلى توج توقيع 3 مذكره تفاهم برنامج تنفيذي تعزيز علاقه تجاري استثماري بلد عرض مستجد سبيل تعزيز علاقه و وزير خارجيه اسباني جوزيف وريلي فونتيليس',saadhariri
'سراي كبير يوم استقبال وزيرن وائل ابو فاعور صالح غريب عرض سبيل تعزيز تعاون بريطانيا كبير مستشار وزاره دفاع بريطاني شان شرق اوسط جنرال سير جون لوريمر لقاء اخر',saadhariri
'حريري بحث جعجع مسعى تاليف',saadhariri
'سراي كبير يوم استقبال مبعوث خاص رئيس روسيا تسويه سوري الكسندر لافرانتيان وفد مجلس شورى سعودي لقاء اخر',saadhariri
'حريري بيال ذهب الى صندوق اقتراع سقف قانون اقر برلمان',saadhariri
'رئيس التقى نظير فرنسي برنار كازنوف',saadhariri
'شرف لقاء فتى شجاع محمود ادهم غضبان',saadhariri
'نبلاط سراي تقدم شيء مختلط',saadhariri
'حريري استقبل سفير باكستان وفد جماعه اسلامي تلقى برقيه تهنئه سبسي',saadhariri
استقرار,saadhariri
'وعد 4 سنه',saadhariri
'روك تاهل منتخب بكره قدم الى نهائي اقام اماره فوز منتخب ماليزيا 21',saadhariri
'صادق زميل وفي رفيق درب يوم صعب بدر اوسى رجل نبيل خسر طرابلس اراد عيش مشترك ابن',saadhariri
'جتماع تحضيري جلسه مجلس نائب بحث وضع اقتصادي بلد لقاء رئيس',saadhariri
'ي ذكرى 11 اغتيال صديق شهيد جبران تويني قسم بقي موحد دفاع وطن وفاء ل 14 اذار 2005 شهيد',saadhariri
'سعودي احرص دوله استقرار لبنان ذكر اعلام مجاف حقيقه',saadhariri
'تخذ قرار فتح مكتب ضمان اجتماعي ضني سهل حياه مواطن خفف مشقه انتقال انجاز معامله',saadhariri
'يس حزب الله قرر علي اساس خاض انتخاب كتله واجب علي امثل حكومه طريقه تكلم شريك بلد',saadhariri
'ادي صلاه مبارك يوم مسجد امام علي طريق جديد حضور رجل دين مصلي',saadhariri
'سراي كبير ظهر يوم اطلاق مشروع نظم الكتروني موحد تصنيف متعهد مكتب درس استقبال سفير امريكي يزابيت ريتشارد اكد مواصله دعم ولايه متحد شامل الى',saadhariri
'مقال دار مات الى خلق الي صحافه صله عمل مدان محاوله فاضح ضرب علاقه مملكه عربي خرق موصوف قانون رعى حريه اعلامي حرص',saadhariri
'حريري بحث كاغ مستجد التقى وفد منظمه عمل دولي',saadhariri
'حن يقين تيار مستقبل جمهور رئيس شهيد رفيق حريري قابل كسر تيار مستقبل قابل كسر ركن اساس ركن صيغه لبناني توازن وطني ان شكل جسر عبر وهم اطاحه صيغه اتفاق طائف عروبه لبنان',saadhariri
'الله سياده مطران يوسف بشاره قال كلمه حق وقف جراه زمن صعب رافق ثوره ارز الى جانب مرحوم غبطه بطريرك صفير',saadhariri
'وصل معزي عائله راحل منى مرعشلي رحم الله قامه فني خسر طرب خسر لبنان خسر ثقافه عربي اسكن الله فسيح جنه',saadhariri
'قيمه رئيس حريري غد سراي عشاء شرف مجلس امين اداره جامعه امريكي اطلاق حمله جراهسعيا رياد ابتكار خدمه',saadhariri
'تحدى اجراء اسرائيلي متضامن عاصمه اهل حمايه وجود مسيحي مدينه مقدس',saadhariri
'صل رئيس رافق وزير سابق غطاس خوري الى يوم استقبال مطار وزير اماراتي محمد خليفه مبارك سفير لبناني اماره عربي متحد مقرر ان استمر زياره يوم التقى رئيس حريري مسؤول اماراتي',saadhariri
'لاقي حضاره ثقافه دين طريقه وحيد مكافحه تطرف تعصب عنصريه انعزال',saadhariri
'اع قليل تفصلني لقاء اهلي اهل شهامه كرم نخوه عربي اصيل',saadhariri
'روك اقرار تعديل قانون تجاره مجلس نيابي يوم التزام بيان وزاري حكومه اجنده در اصلاحي',saadhariri
'تراس عصر يوم اجتماع وزاري متابعه موضوع تلوث نهر ملف اولويه بدا عمل شهر',saadhariri
'دعو انصار محب الى رفض اي دعوه نزول الى شارع قطع طريق هدوء مسؤوليه وطنيه اولويه ازمه واجه خطير احتمل اي تلاعب استقرار',saadhariri
'حريري عضو مستقبل جمهور حلم حقيقه ارفع راس ب عالي',saadhariri
'اطلق مسار تشريعي تشاوري شارك مكافحه ظاهره ارهابي نموذج منطقه عربي',saadhariri
'ستقبالات يوم استقبال سفير مصري ياسر علوي حضور مستشار رئيس حريري شان دبلوماسيه دكتور اسم شاب عرض وضع عام منطقه علاقه ثنائي بلد',saadhariri
'حريري انجز قانون انتخاب حكومه فشل',saadhariri
'ي وجه تحدي مر بلد اثبتم دائم حق حق عيد ال 156 عام و خير فضل تضحي',saadhariri
'قرار موازنه انجاز لبنان عهد حكومه اضاف الى انجاز اخر تحقق شهر ماضي',saadhariri
'يت وسط يوم بحث موضوع تشكيل حكومه رئيس حزب تقدمي اشتراكي نائب سابق وليد جنبلاط رئيس حزب قوه لبناني دكتور سمير جعجع استقبال سفير مجموعه دعم دولي لبنان لقاء اخر',saadhariri
'سراي كبير يوم عرض مستجد محلي اقليمي مساعد وزير خارجيه امريكي شان شرق ادنى دايفيد ساترفيلد اعلان فوز جامعه بيروت عربي مسابقه انشاء مركز ابداع رقمي لقاء اخر',saadhariri
'يت وسط يوم استقبال وزير اقتصاد رائد خوري وزير دفاع يعقوب صراف وفد نادي رياضي بيروت',saadhariri
'م احد قال كلمه سمع صوت صندوق اقتراع زحف ي مقدس الله بيت مركز اقتراع و استحق زحف استحق اصوات لتحم قرار لتحم هويه قال اعلى صوت كرامه خط احمر',saadhariri
'ن امر محزن جد تداعى خطاب سياسي مستوى بلغ ساعه اخير مؤسف محزن ايض انعكس صدى خطاب شارع وسيله تخاطب تواصل اجتماعي صوره يتمنا لبناني راهن سلامه بلد استقرار 14',saadhariri
'رافق مرحوم دكتور سهيل بوجي عام طويل بعدما رافق مسيره رئيس شهيد رفيق حريري ل عديد رجل دوله رئيس حكومه لبنان خير امين مجلس وزير صاحب راي مخلص نظره ثاقب قضيه قانوني اداري سياسي',saadhariri
'الله ستافرو جبر رحيل خسر لبنان عرب فنان كاريكاتوري متفوق ريش نص احر تعزيه عائله محب',saadhariri
'بنان استحق نتوحد مصلحه وطنيه',saadhariri
'سراي وسط اطلاق استراتيجيه تدريب مهني تقني استقبال رئيس حزب قوه لبناني دكتور سمير جعجع',saadhariri
'سراي كبير يوم رعايه حفل افتتاح مشروع تعزيز وصول حمايه مشاركه نساء لاجئ نازح مجتمع مضيف بحث موضوع نازح مدير اقليمي منظمه دولي هجره منطقه شرق اوسط افريقيا سيد كارميلا غودو لقاء اخر',saadhariri
'ستقبالات يوم استقبال نائب نزيه نجم ركز لقاء وضع ابن مشكله معاناه مرفق حياه كهرباء ماء وضع معيشي اقتصادي',saadhariri
'يت وسط يوم استقبال سفير كويت بريطانيا مدير تنفيذي صندوق امه متحد ساكن لقاء اخر',saadhariri
'طلاق مشروع لقاء اخر دوله رئيس تابع عبر سعد',saadhariri
'ختياركم انتخاب استقرار امان حركه اقتصادي فرصه عمل سمح الله خراب كابوس اقتصادي اجتماعي تصويت لائحه مستقبل استمرار مشروع سياسي اقتصادي اجتماعي',saadhariri
'كبر فخر ابن وطن قاد مشروع اعاده ثقه دوله اقتصاد عمل استثمار رئه لبنان اقتصادي',saadhariri
'نذ تشكيل حكومه سعى شقيق صديق وصل قرار دولي تنظيم 3 مؤتمر افاد لبنان',saadhariri
'يت وسط يوم عرض مستجد لبنان منطقه سفير اتحاد اوربي لبنان كريستينا اسن استقبال سفير الماني مارتين هوث قنصل عام موريشيوس سالم بيضون',saadhariri
'ترؤس اجتماع الكتروني كتله مستقبل نيابي تم تداول اخر مستجد وضع عام',saadhariri
'ن توجيه خادم حرم شريف ملك سلمان ابن عبد عزيز شان ان وضع امر نصاب صحيح ساهم رد حمله مغرض تعرض ل مملكه 23',saadhariri
'صل الى قناعه عزل صراع سياسي عمل منتج نهوض اقتصاد ايجاد فرصه عمل خصوص شب حل مساله مواطن',saadhariri
'صه مشروع وطني عمل 3 مليار دولار كهرباء صرف صحي ماء اتصال نفايه سياحه',saadhariri
'قول حزب وضع داخلي لبناني تحمل خلاف تعاون مصلحه بلد ادق ناقوس خطر وضع اقتصادي صعب',saadhariri
'سراي حكومي ظهر يوم استقبال وفد نيابه عام ماليه رئاسه قاضي علي ابراهيم وفد بعثه دولي صليب احمر رئاسه كريستوف مارتن سفير هولاندا لبنان',saadhariri
'اجراء اتخذ نقل الي خارج جدير تقدير سال الله سلامه تحيه قلب فريق طبي واكب عمليه',saadhariri
'تاريخ تنازل امام سلطه مال سلاح شعار مقاومه ممانعه زينه',saadhariri
'يت وسط ظهر يوم استقبال وفد جماعه اسلامي تلقي برقيه تهنئه مناسبه عيد استقلال ابرز رئيس امريكي اشاد تقدم كبير حقق حكومه عام ماضي اكد طلع بلد عمل حكومه جديد لقاء اخر',saadhariri
'راى يوم مقبل جهد كبير جد حكومه ننجو عاصفه مر امكن اذى نفس خطوه صحيح وصل بر امان',saadhariri
'حريري اتصل عائله سعد ريشا مهنئ',saadhariri
'ين لبنان و تاريخ انكسر سع الى سبيل امسيه بيروتي رساله واضح عروبه لبنان تقدم لاءات محور معادله',saadhariri
'سراي حكومي ظهر تراس اجتماع لجنه وزاري مكلف بحث موضوع استجرار طاقه استقبال مساعد وزير خزانه امريكي شان تمويل ارهاب مارشال بيلينغسلي استقبال نائب وائل ابو فاعور',saadhariri
'ملي تابع مسيره سوي حافظ استقرار بلد اهل استعد مرحله مقبل',saadhariri
'يت وسط ظهر يوم عرض وضع عام شان طرابلسي وزير سابق نائب محمد صفدي استقبال نائب سابق مسعود حجيري ولد حسن حسين محامي مروان سلام',saadhariri
'مجلس وزير استكمل قراءه موازنه حريري اكد نموذج حل سياسي',saadhariri
'حن معروف تحدث وجه مكشوف اسم حقيقي قال بقى حد توقع تضحي ضحي اغلى تخلى دفع شهيد حياه',saadhariri
'حريري طلب دليفري وزير عبر تطبيق لبناني',saadhariri
'مر بلد ظرف صعب حمد الله بدا بلد استعاد عافي حريص استقرار عمل وسع نهوض وضع اقتصادي ابقى جانب اكمل مشوار',saadhariri
'زياده استثمار بنيه تحتي ثاني ضمان تنفيذ برنامج استثماري اطار مالي شامل دين مستدام',saadhariri
'يت وسط ظهر يوم اجتماع كتله مستقبل نيابي استقبال وزير ملحم رياشي مجموعه طفل عدد مدرسه لبناني',saadhariri
'بيت وسط ظهر يوم ترؤس اجتماع كتله مستقبل نيابي تاكيد تشكيل حكومه شعر حصل حصه استحق',saadhariri
'ضيء سراي حكومي كبير اراد بناء لبنان مختلف تساوى مواطن نساء رجل حقق هدف تنميه',saadhariri
'حريري التقى سفير اردني مصري مستشار وزير خارجيه ايراني نوه انسجام سياسي',saadhariri
'مناسب جلسه اخير سنه صحيح ان حكومه واجه تحدي كثير استطاع تحقيق انجاز كبير اخر مرسوم خاص قطاع نفط فخور عمل وضع نفس خدمه والي اتخذ قرار تاريخي ناي نفس مشكله منطقه',saadhariri
'ي عصر سهوله وصول معلومه ازداد اهميه معلم معلم طريقه تفكير جيل صاعد قيمه تبنى تحيه قلب',saadhariri
'وفاه ميشيل اد شخصيه تميز حكمه ثقافه سياسي نذر نفس خدمه قضيه فلسطيني شكل قيمه مضاف اداء سياسي مدى عقد طويل احر تعزيه عائله صديق مؤسسه جمعيه كرس حياه دعم',saadhariri
'مشروع منطقه اخراج حاله تهميش تدهور اقتصادي حجر زاويه تحفيز نقله نوعيه حجم استثمار عام 3 مليار دولار استثمار بنى تحتي مشروع عرض مانح قطاع خاص در امن تمويل مرحله باريس',saadhariri
'قضيه سياسي اقتصادي محل خلاف احتمل اجتهاد تباين وجهه نظر فان خطر استدعى عدم تردد اتخاذ اجراء حمى سلامه مواطن مقيم علا ايه مصلحه التزام سياسي',saadhariri
'مرحله قادم رافع نهوض اقتصادي نمو فرصه عمل شاب شابه قال مستقبل',saadhariri
'حريري ارهاب ل دين حارب وحده وطنيه',saadhariri
'شاب ي سقط رصاصه غادر ادى واجب انساني صليب احمر دولي شهاده عنوان وجب ان رساله عالم احر تعزيه عائله رفقه صليب احمر',saadhariri
'برز جاء كلمه رئيس مجلس وزير جلسه مجلس نائب تشريعي يوم ثاني',saadhariri
'حريري اسماعيل بحث علاقه ثنائي وقع اتفاقيه تعاون',saadhariri
'مزايده مدى وقوف ضد نظام اسد مزايده رخيص اما وجود سفاره لبناني سوريا تاكيد استقلال سياده',saadhariri
'حريري اقام مادبه عشاء شرف سب',saadhariri
'نشاء فرع جامعه لبناني عكار وبعلبكالهرمل وكسروانجبيل انجاز كبير يوم خطوه جديد طريق نهوض اقتصادي توفير فرصه شب بلد مبروك شب مبروك لبنان',saadhariri
'حريري استقبل سب',saadhariri
'جيش الي قوه امني شرعيه مسؤوليه توفير سلامه امان مقيم ملاحقه تنظيم ارهابي',saadhariri
'سمع كلام قانون ايجار قانون عادل وجب رفع غبن صاحب عقار هجر فقير بيت مسؤوليه فرض بحث جدي موضوع',saadhariri
'فرح حل سعيد رغم تفاقم ازمه اقتصادي ماليه معيشي ظرف قاسي واجه لبناني عرب جراء وباء كورونا 13',saadhariri
'ضره استاذ محمد سعودي محترم تقدير لعطاءاتك عمل بلدي عام منح فخامه رئيس جمهوريه عماد ميشيل عون وسام استحقاق لبناني فضي وضع يوم صدر متمني ل دوام صحه توفيق',saadhariri
'روك عزيز جورج شعبان تقليد وسام صداقه رئيس روسي فلاديمير بوتين افتخر دائم نجاح لبناني افتخر خصوص حقق جورج شعبان علاقه لبناني روسي عمل',saadhariri
'ل تضامن حريه ل',saadhariri
'مرشح اعلن يوم يد واحد حمله انتخابي يد واحد حمله دخل الى برلمان عدد مشرف الله تيار مستقبل قاعده مستقبل مشروع مستقبل لبنان افضل مشروع شرعيه اعتدال عيش مشترك',saadhariri
'حريري يهنىء ترامب قياده ضروري تحقيق استقرار شرق اوسط',saadhariri
'جتماع وزاري منزل سفير لبناني بروكسل',saadhariri
'حضور مميز مؤسسه ديني اسلامي تربى سلوك امر شكل قيمه مضاف مسؤوليه حمايه بلد مؤسسه معني شان سياسي وطني مرحله خصوص بيروت بدا مخطط تفتيت اصوات عائله ذهب خدمه مصلحه انتخابي لائحه حزب الله',saadhariri
'هنئ عيد ادخر جهد وقوف الى جانب معركه ضد',saadhariri
'كرم يوم استاذ روجيه نسناس حافظ مجلس اقتصادي اجتماعي مرحله سابق تخلل هزه ازمه شلل مؤسسه عام',saadhariri
'ستقبال نائب سابق احمد فتفت عرض وضع عام',saadhariri
'قاء جمع دوله رئيس مجلس وزير عضو تابع ثني عبر رابط',saadhariri
'ثابته وطنيه عربي رجل خيار احتمل تردد تراجع ميزه رجل مدينه مضى عمر ناضل كافح عمل نجح حماسه عطاء مدينه بنان',saadhariri
'توجه تهنئه الى لبناني عموم عرب مسلم خصوص مناسبه حل عيد سائل الله سبحان تعالى اعاد تحقق اماني تقدم استقرار امان',saadhariri
